ID,STRAIN,PROCEDURE_ID,SEQUENCE_ID,STATUS_CODE,IS_MISSING
210,Cul9,IMPC_FER_001,0,,0
211,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Btbd1tm1a",IMPC_FER_001,0,,0
212,Spryd4,IMPC_VIA_002,0,,0
220,Klk11 (exdel),IMPC_FER_001,0,,0
221,Cnpy2,IMPC_FER_001,0,,0
222,Asb5,IMPC_FER_001,0,,0
223,Zc2HC1a,IMPC_FER_001,0,,0
224,Prg4,IMPC_FER_001,0,,0
225,E_Rnf19b,IMPC_EVP_001,0,,0
227,1810011H11Rik(indel),IMPC_VIA_001,0,,0
228,Sbspon (indel),IMPC_VIA_001,0,,0
229,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Nub1",IMPC_VIA_001,0,,0
230,0610009O20Rik (del),IMPC_VIA_001,0,,0
231,3425401B19Rik (indel),IMPC_VIA_001,0,,0
232,Uchl4-indel,IMPC_VIA_001,0,,0
233,RC2,IMPC_VIA_001,0,,0
234,Nsmce1,IMPC_VIA_001,0,,0
235,Trim15tm1b,IMPC_VIA_001,0,,0
236,Pknox2(del),IMPC_VIA_001,0,,0
239,Crx,IMPC_FER_001,0,,0
240,Abtb1(exdel),IMPC_FER_001,0,,0
241,Ubl4b,IMPC_FER_001,0,,0
242,Krt28,IMPC_FER_001,0,,0
243,SLA2,IMPC_FER_001,0,,0
244,Spryd4,IMPC_FER_001,0,,0
245,Fbxo25,IMPC_FER_001,0,,0
246,Fgf14,IMPC_FER_001,0,,0
247,Gm10851,IMPC_FER_001,0,,0
248,Klk15(exdel),IMPC_FER_001,0,,0
249,Rnf14,IMPC_FER_001,0,,0
250,ncGm15551,IMPC_FER_001,0,,0
251,Krt27,IMPC_FER_001,0,,0
252,Mapkapk3,IMPC_FER_001,0,,0
253,Fam124a,IMPC_FER_001,0,,0
254,Krt33b,IMPC_FER_001,0,,0
255,Zfp474,IMPC_FER_001,0,,0
256,Krtap8_1,IMPC_FER_001,0,,0
257,Asb1,IMPC_FER_001,0,,0
258,Asb7 (inexdel),IMPC_FER_001,0,,0
265,Prss12,IMPC_FER_001,0,,0
266,1810041L15Rik (exdel),IMPC_FER_001,0,,0
270,Insig1(exdel),IMPC_FER_001,0,,0
271,GABRA5,IMPC_FER_001,0,,0
272,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Churc1tm1a",IMPC_FER_001,0,,0
273,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x March3",IMPC_FER_001,0,,0
274,Fgd3,IMPC_FER_001,0,,0
275,Rffl,IMPC_FER_001,0,,0
276,Fam71f1,IMPC_FER_001,0,,0
277,E_Fam60a,IMPC_EVO_001,0,,0
278,E_Rnf4,IMPC_EVO_001,0,,0
279,E_Ltn1,IMPC_EVP_001,0,,0
280,E_Fam60a,IMPC_EVP_001,0,,0
281,E_Atg7,IMPC_EVP_001,0,,0
282,E_Rnf4,IMPC_EVP_001,0,,0
283,E_Nsmce1,IMPC_EVM_001,0,,0
284,E_Fam60a,IMPC_EVM_001,0,,0
285,E_Anapc10,IMPC_EVM_001,0,,0
286,E_Fam96b,IMPC_EVM_001,0,,0
287,E_Rnf4,IMPC_EVM_001,0,,0
288,Rnf148,IMPC_FER_001,0,,0
289,Krt33a,IMPC_FER_001,0,,0
290,Wdr49,IMPC_FER_001,0,,0
291,Pdgfd,IMPC_FER_001,0,,0
292,Btbd8,IMPC_FER_001,0,,0
298,Fgd3,IMPC_VIA_002,0,,0
299,Fam124a,IMPC_VIA_002,0,,0
300,Zfp474,IMPC_VIA_002,0,,0
301,Cnpy2,IMPC_VIA_002,0,,0
302,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Churc1tm1a",IMPC_VIA_002,0,,0
303,Gm10851,IMPC_VIA_002,0,,0
304,ncGm15551,IMPC_VIA_002,0,,0
305,Krt27,IMPC_VIA_002,0,,0
306,Smim26,IMPC_VIA_002,0,,0
307,Klk15(exdel),IMPC_VIA_002,0,,0
308,Anapc10,IMPC_VIA_002,0,,0
310,Fgf14,IMPC_VIA_002,0,,0
311,Wdr49,IMPC_VIA_002,0,,0
312,Zc2HC1a,IMPC_VIA_002,0,,0
313,Prg4,IMPC_VIA_002,0,,0
314,Atf2tm1b,IMPC_VIA_002,0,,0
315,Krt28,IMPC_VIA_002,0,,0
316,SLA2,IMPC_VIA_002,0,,0
317,Prss47,IMPC_FER_001,0,,0
318,Fam160b2,IMPC_FER_001,0,,0
319,Prss54,IMPC_FER_001,0,,0
320,Lrrc17,IMPC_FER_001,0,,0
321,Atg7,IMPC_VIA_002,0,,0
322,Krtap8_1,IMPC_VIA_002,0,,0
323,Prss12,IMPC_VIA_002,0,,0
324,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Tomm6tm1a",IMPC_VIA_002,0,,0
325,Mapkapk3,IMPC_VIA_002,0,,0
326,"Stk26 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
327,E_Nsmce1,IMPC_EVL_001,0,,0
328,E_Anapc10,IMPC_EVL_001,0,,0
329,E_Fam96b,IMPC_EVL_001,0,,0
330,E_Coa6,IMPC_EVL_001,0,,0
331,E_Dtx4,IMPC_EVM_001,0,,0
332,E_Coa6,IMPC_EVM_001,0,,0
